collectiviteNom,collectiviteSiret,annee,semaineNumero,typeEDP,nbEDPdeployes,nbTrajets
Ville de Marseille,21130055300016,2019,44,Trottinette électrique,2 377,26013
Ville de Marseille,21130055300016,2019,45,Trottinette électrique,1 869,27624
Ville de Marseille,21130055300016,2019,46,Trottinette électrique,1 914,22140
Ville de Marseille,21130055300016,2019,47,Trottinette électrique,1 835,18311
Ville de Marseille,21130055300016,2019,48,Trottinette électrique,1 895,17907
Ville de Marseille,21130055300016,2019,49,Trottinette électrique,2 737,25737
Ville de Marseille,21130055300016,2019,50,Trottinette électrique,2 619,22838
Ville de Marseille,21130055300016,2019,51,Trottinette électrique,2 558,23013
Ville de Marseille,21130055300016,2019,52,Trottinette électrique,2 391,19284
